ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
147, 183.364,130.763,77.9118,-1.57331,4.20379,5.96365,14.0122,91.6545,56.8137,30.67,57.3643,39.5344,,
148, 183.364,130.764,77.9134,-1.56952,4.20788,5.96769,14.016,91.6562,56.8161,30.6727,57.367,39.537,,
149, 183.364,130.765,77.915,-1.56587,4.2118,5.97157,14.0197,91.6579,56.8183,30.6754,57.3696,39.5395,,
150, 183.364,130.765,77.9165,-1.56237,4.21558,5.9753,14.0233,91.6595,56.8205,30.6779,57.372,39.542,,
151, 183.364,130.766,77.918,-1.55899,4.21921,5.97888,14.0267,91.661,56.8226,30.6803,57.3744,39.5443,,
152, 183.365,130.767,77.9193,-1.55575,4.2227,5.98233,14.03,91.6625,56.8246,30.6827,57.3766,39.5465,,
153, 183.365,130.767,77.9207,-1.55264,4.22605,5.98565,14.0332,91.6639,56.8266,30.6849,57.3788,39.5486,,
154, 183.365,130.768,77.922,-1.54964,4.22927,5.98884,14.0362,91.6652,56.8285,30.6871,57.3809,39.5507,,
155, 183.365,130.768,77.9232,-1.54676,4.23237,5.99191,14.0391,91.6665,56.8303,30.6892,57.383,39.5527,,
156, 183.365,130.769,77.9244,-1.54399,4.23535,5.99486,14.0419,91.6678,56.832,30.6912,57.3849,39.5546,,
157, 183.365,130.769,77.9255,-1.54133,4.23821,5.99769,14.0446,91.669,56.8336,30.6931,57.3868,39.5564,,
158, 183.365,130.77,77.9266,-1.53876,4.24097,6.00042,14.0472,91.6701,56.8352,30.6949,57.3886,39.5581,,
159, 183.365,130.77,77.9276,-1.5363,4.24361,6.00304,14.0497,91.6713,56.8368,30.6967,57.3903,39.5598,,
160, 183.365,130.771,77.9286,-1.53393,4.24616,6.00556,14.0521,91.6723,56.8382,30.6984,57.3919,39.5615,,
161, 183.365,130.771,77.9296,-1.53166,4.2486,6.00798,14.0544,91.6733,56.8397,30.7001,57.3935,39.563,,
162, 183.365,130.772,77.9305,-1.52947,4.25095,6.01032,14.0566,91.6743,56.841,30.7016,57.3951,39.5645,,
163, 183.365,130.772,77.9314,-1.52736,4.25321,6.01256,14.0588,91.6753,56.8423,30.7031,57.3965,39.5659,,
