ステップ数,節点0の温度,節点1の温度,節点2の温度,節点3の温度,節点4の温度,節点5の温度,節点6の温度,節点7の温度,節点8の温度,節点9の温度,節点10の温度,節点11の温度,,
4857, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4858, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4859, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4860, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4861, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4862, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4863, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4864, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4865, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4866, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4867, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4868, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4869, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4870, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4871, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4872, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4873, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4874, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4875, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4876, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4877, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4878, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4879, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4880, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4881, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4882, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4883, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4884, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4885, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4886, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4887, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4888, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4889, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4890, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4891, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4892, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4893, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4894, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4895, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4896, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4897, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4898, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4899, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4900, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4901, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4902, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4903, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4904, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4905, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4906, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4907, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4908, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4909, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4910, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4911, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4912, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4913, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4914, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4915, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4916, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4917, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4918, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4919, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4920, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4921, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4922, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4923, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4924, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4925, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4926, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4927, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4928, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4929, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4930, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4931, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4932, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4933, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4934, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4935, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4936, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4937, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4938, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4939, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4940, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4941, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4942, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4943, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4944, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4945, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4946, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4947, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4948, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4949, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4950, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4951, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4952, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4953, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4954, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4955, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4956, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4957, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4958, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4959, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4960, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4961, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4962, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4963, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4964, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4965, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4966, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4967, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4968, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4969, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4970, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4971, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4972, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4973, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4974, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4975, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4976, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4977, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4978, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4979, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4980, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4981, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4982, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4983, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4984, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4985, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4986, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4987, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4988, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4989, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4990, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4991, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4992, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4993, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4994, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4995, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4996, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4997, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4998, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
4999, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5000, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5001, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5002, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5003, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5004, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5005, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5006, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5007, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5008, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5009, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5010, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5011, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5012, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5013, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5014, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5015, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5016, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5017, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5018, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5019, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5020, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5021, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5022, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5023, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5024, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5025, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5026, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5027, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5028, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5029, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5030, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5031, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5032, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5033, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5034, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5035, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5036, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5037, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5038, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5039, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5040, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5041, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5042, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5043, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5044, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5045, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5046, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5047, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5048, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5049, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5050, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5051, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5052, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5053, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5054, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5055, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5056, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5057, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5058, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5059, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5060, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5061, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5062, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5063, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5064, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5065, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5066, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5067, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5068, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
5069, 183.367,130.782,77.9532,-1.47496,4.30929,6.06838,14.1117,91.6985,56.8749,30.7405,57.4332,39.6015,,
